"country","V5","V6","V7","V8","V9","V10","V11","V23","V24","V55","V59","V67","V69","V70","V71","V72","V73","V76","V77","V78","V79","V108","V110","V111","V113","V114","V115","V117","V119","V120","V121","V122","V123","V124","V131","V132","V133","V134","V136","V137","V138","V139","V97","V98","V99","V100","V101","V140","V143","V150","V151","V153","V155","V156","V170"
"Cyprus",1.44944944944945,1.54354354354354,2.72874493927126,1.46439317953862,1.82765531062124,1.91482965931864,2.04204204204204,7.00402819738167,1.90899898887765,7.5748743718593,5.785,2.1238670694864,1.56767676767677,2.13527054108216,4.17788944723618,2.04604604604605,3.58917835671343,3.52769385699899,2.17558022199798,2.17971887550201,2.20240480961924,2.13017154389506,2.55015197568389,2.45336008024072,2.24196787148594,2.10071210579858,2.61201629327902,2.59169199594732,1.9672131147541,2.36082474226804,2.28181818181818,2.12857142857143,2.16176470588235,2.14735772357724,5.73705583756345,3.32870864461046,8.45427135678392,7.65757575757576,7.22303664921466,5.91803278688525,6.22889114954222,8.23014256619145,4.87268993839836,3.71758793969849,3.93985728848114,5.24773413897281,6.167004048583,8.991,1.62024048096192,1.75228426395939,1.65145228215768,2.64780600461894,2.92816419612315,1.97048808172531,1.88169868554095
"Ecuador",1.96838602329451,1.59367194004996,2.55158069883527,1.16971713810316,1.47753743760399,1.5,2.03743760399334,7.91846921797005,1.92833333333333,7.86166666666667,6.66139767054908,2.48874061718098,1.18614357262103,2.33916666666667,4.02997502081599,2.11573688592839,2.41715237302248,3.14820982514571,2.30890924229809,2.2396006655574,2.23480432972523,1.75707154742097,2.61397670549085,2.60782681099084,2.56821963394343,2.86405337781485,2.48040033361134,2.93833333333333,2.12822647793505,2.46828046744574,2.56702747710241,2.45998315080034,2.41715237302248,2.50753768844221,5.70268006700168,4.58501683501683,7.41757322175732,5.74142259414226,6.41610738255034,5.97573221757322,6.25919732441472,7.9465776293823,5.72696817420436,5.56452955870108,3.80984153461218,3.64166666666667,7.16569037656904,8.50877192982456,1.68053244592346,1.83291562238931,1.85881370091896,2.40762711864407,2.40418410041841,2.08768971332209,1.99916805324459
"Egypt",1.74392646093237,2.35653315824032,2.1661195009849,1.90938936309915,1.06504599211564,3.06040709126724,2.43007222586999,5.01050558108995,1.79448456992777,6.29021667760998,4.97242284963887,2.62376887721602,1.16808929743926,2.9080761654629,3.74917925147735,2.41300065659882,3.52462245567958,3.77413000656599,1.97307944845699,2.37163493105712,1.83782009192383,1.81961816984858,2.73895847066579,2.32654402102497,2.51184210526316,2.38314680710994,2.68618421052632,3.01194426011944,2.48643282594308,2.72642762284197,2.46953642384106,3.08160535117057,3.02087542087542,2.36551264980027,7.17465528562049,6.11359159553513,8.66710439921208,7.01969796454366,8.04990151017728,7.35587655942219,7.25344714379514,7.31122783978989,6.75508864084045,3.11490479317137,2.543007222587,2.68483256730138,7.25279054497702,8.76231122783979,1.78791858174655,1.59487852921865,1.34668417596848,1.30825082508251,1.98053691275168,2.26652601969058,3.06447368421053
"Estonia",1.61478090255069,1.79672131147541,2.87745740498034,1.7302110817942,3.02122015915119,2.13121272365805,2.53071895424837,6.20039292730845,1.60429242119383,6.30865829477859,5.30431937172775,2.36928327645051,1.81526390870185,3.26046511627907,4.21188118811881,2.80447662936142,3.60224274406332,4.16235917826375,2.79075907590759,2.84824387011266,2.90933333333333,2.29395017793594,2.64073829927488,2.31910702560735,2.07373271889401,2.29276538201488,2.53108465608466,2.74061662198391,1.74911158493248,2.40938166311301,2.2808764940239,2.16202712348323,2.21578505457599,2.14128843338214,7.19698009608785,3.39737034331629,8.58141112618724,8.19179004037685,8.29276773296245,6.98740377886634,4.85502121640735,8.61152042866711,5.92852185981957,3.64970257766028,3.80753701211306,5.14777998674619,5.45956873315364,8.29139072847682,1.95049504950495,1.65787490580256,1.75339185953711,3.32045779685265,2.5018315018315,1.89545091779729,1.92353328938695
"Georgia",1.28868552412646,2.01665278934221,2.73355537052456,1.42714404662781,1.18801996672213,2.1398834304746,2.63893510815308,5.44666666666667,1.91114836546521,6.24114671163575,4.00666666666667,2.61348122866894,1.43003412969283,2.93042749371333,3.95409015025042,1.93149540517962,3.87959866220736,3.73529411764706,1.95633921074727,1.879932829555,1.60672268907563,1.52348993288591,2.97283531409168,2.88289806234204,2.54302925989673,2.78368469294225,2.85552654482158,2.91346153846154,2.40163191296464,2.72684752104771,2.90853658536585,2.45454545454545,2.41147859922179,2.31660583941606,4.78446601941748,3.68913480885312,8.44354110207769,7.33456561922366,7.17607655502392,5.15637065637066,5.72659176029963,8.01553930530165,5.08807829181495,2.91109229466554,3.0713058419244,5.18105616093881,6.52245250431779,8.69363166953528,1.28975853455454,1.808911739503,1.70248667850799,2.10892018779343,3.10365853658537,1.94277673545966,1.43166666666667
"Germany",1.56207233626588,1.81176470588235,2.58757338551859,1.8064681724846,2.95139911634757,1.90976331360947,2.13111545988258,7.3930494371023,1.57511155180962,6.96710849288169,6.55308641975309,2.00398208063713,1.52223320158103,2.85458167330677,3.93685249136655,3.07544378698225,3.06030647553139,4.39426877470356,3.23375984251969,2.92621741269061,3.06998521439133,2.86466165413534,2.63124073158675,2.58518518518519,1.99259259259259,2.21073758153537,2.61219390304848,2.64004044489383,1.95828877005348,2.94790602655771,3.0382894082546,2.32426988922457,2.22930648769575,2.12056737588652,7.06387225548902,2.02548725637181,9.27960687960688,8.02418558736426,8.21112767014406,5.87845303867403,2.26228686058175,9.31219272369715,5.21458551941238,4.56062837506136,3.9451918285999,4.71189773844641,5.89844142785319,8.92906403940887,2.1049534085336,1.45560253699789,1.74598930481283,3.40969387755102,2.95656617271334,2.40909090909091,1.44378988708886
"Ghana",1.79510309278351,1.60760309278351,2.61146907216495,1.06958762886598,1.08762886597938,1.6604381443299,1.61082474226804,6.42203608247423,1.95038659793814,7.43492268041237,4.90786082474227,2.80798969072165,1.06185567010309,1.97680412371134,2.42074742268041,1.74033505154639,3.75128865979381,2.71069587628866,1.71907216494845,1.94974226804124,2.26481958762887,1.47036082474227,2.28414948453608,2.04703608247423,2.36533505154639,2.31572164948454,2.30476804123711,2.43234536082474,1.68814432989691,1.98711340206186,1.84536082474227,2.10115979381443,2.05219072164948,1.94845360824742,4.85889175257732,4.14884020618557,8.32474226804124,5.42654639175258,6.61726804123711,4.62886597938144,8.12306701030928,7.86855670103093,5.67074742268041,5.00708762886598,2.96585051546392,3.01224226804124,5.84922680412371,8.45682989690722,1.60567010309278,1.61855670103093,1.32280927835052,1.63553233180927,1.91779935275081,2.17394136807818,1.63378465506125
"Haiti",1.73407482305359,2.30307614725164,2.57482305358948,1.41612090680101,2.03037974683544,1.89417721518987,2.20030272452069,5.58942065491184,1.78342653787494,5.02272727272727,3.35113350125945,2.70490146538656,1.09772151898734,3.94188984335523,2.81740010116338,2.15477996965099,3.99848178137652,4.30617408906883,2.39564336372847,3.79807204464739,3.43184130213632,3.24987146529563,3.01129943502825,2.87332646755922,3.35659312467932,3.30626927029805,3.35490498202363,3.1175863847344,2.77532133676093,3.05609881626351,2.88317035512095,2.80462724935733,3.05915637860082,3.18350515463918,6.11008230452675,4.46233230134159,7.02006172839506,4.33247289623129,6.56811145510836,3.34559585492228,4.46090534979424,6.34259259259259,4.39076923076923,3.47535934291581,6.0430990251411,8.62769230769231,2.11076923076923,6.37384140061792,1.45753988677303,1.543254376931,1.55561277033986,2.58032955715757,2.17507723995881,2.33007209062822,2.44925296239052
"Hong Kong SAR China",1.631,1.79497487437186,2.52769385699899,1.92985971943888,2.77054108216433,1.88677354709419,2.3259779338014,6.84954864593781,1.5166163141994,6.87487487487487,6.63927855711423,2.06740442655936,1.76930792377131,2.98896690070211,4.06513026052104,2.56068204613842,2.90863453815261,4.23991935483871,2.96875,2.64328657314629,3.1503006012024,2.3692152917505,2.62828282828283,2.53815261044177,1.97693079237713,1.77620967741935,2.3105527638191,2.54802831142568,1.92849949647533,2.37777777777778,2.05923694779116,2.12084592145015,2.19416498993964,2.19234642497482,6.04422110552764,3.60851926977688,7.56596173212487,6.38345105953582,7.24471299093656,5.65959595959596,4.51362260343088,7.85943775100402,5.76992936427851,6.08559919436052,3.96273917421954,3.97590361445783,7.08862034239678,7.80780780780781,1.91474423269809,1.73259334006054,1.66735324407827,2.81149193548387,2.73340040241449,2.3630831643002,1.89296636085627
"India",1.71029668411867,2.02122877122877,2.64238241308793,1.27463207782489,1.41079870614581,1.76205708661417,2.08751229105211,6.51677355698076,1.82365145228216,6.87552482094344,5.94484117212509,2.41507936507936,1.78645066273932,2.51068015739179,3.68756936736959,2.71354023619885,3.63946338736724,3.43735697940503,2.47101049144119,2.54016853932584,2.53537604456824,1.2445652173913,1.96049119060331,1.95471204188482,2.42364657814096,2.14588174541699,2.45528235611997,2.31182197496523,1.78125,2.44055326662743,1.61532364597094,2.08705952028428,1.94841835280707,2.067845752392,7.04534130543099,4.0024981264052,7.82065352955849,7.36690827293177,7.27072927072927,7.10142749812171,6.40665665665666,8.11490528414756,5.28746860173039,3.35723878592533,2.73275393807713,3.30094043887147,5.0549868382568,7.77156983930779,2.15915755798454,2.41164348274086,2.44586696354022,2.14322916666667,1.96352583586626,2.05139500734214,1.74419790869676
